browser,app,event,size,time
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.800000011920929
Chrome,React,domManipulation_DELETE,1,2.1726299258756
Chrome,React,domManipulation_ADD,1,1.699999988079071
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.5
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.800000011920929
Chrome,React,domManipulation_ADD,1,2.3993015234116
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.600000023841858
Chrome,React,domManipulation_ADD,1,1.899999976158142
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.800000011920929
Chrome,React,domManipulation_ADD,1,1.9000000357627869
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.7999999523162842
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.9000000357627869
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.800000011920929
Chrome,React,domManipulation_DELETE,1,1.5999999642372131
Chrome,React,domManipulation_ADD,1,1.899999976158142
Chrome,React,domManipulation_EDIT,1,1.800000011920929
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.899999976158142
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.899999976158142
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.600000023841858
Chrome,React,domManipulation_ADD,1,2.2510254319778
Chrome,React,domManipulation_EDIT,1,1.800000011920929
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.9000000357627869
Chrome,React,domManipulation_EDIT,1,2.4750850618383
Chrome,React,domManipulation_DELETE,1,1.800000011920929
Chrome,React,domManipulation_ADD,1,1.899999976158142
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.7999999523162842
Chrome,React,domManipulation_ADD,1,1.9000000357627869
Chrome,React,domManipulation_EDIT,1,1.699999988079071
Chrome,React,domManipulation_DELETE,1,1.399999976158142
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.699999988079071
Chrome,React,domManipulation_ADD,1,1.800000011920929
Chrome,React,domManipulation_EDIT,1,1.7000000476837158
Chrome,React,domManipulation_DELETE,1,1.800000011920929
